x,y,z,dim_x,dim_y,dim_z
0.303407073021,0.208503514528,0.225,0.06,0.06,0.06
0.296222567558,0.148826807737,0.225,0.06,0.06,0.06
0.405185133219,0.54159706831,0.225,0.06,0.06,0.06
0.580808967352,0.310933351517,0.225,0.06,0.06,0.06
0.30521902442,0.165431275964,0.225,0.06,0.06,0.06
0.570797741413,0.388110816479,0.225,0.06,0.06,0.06
0.303743928671,0.185544848442,0.225,0.06,0.06,0.06
0.295768201351,0.0236762613058,0.225,0.06,0.06,0.06
0.72345250845,0.106755532324,0.225,0.06,0.06,0.06
0.28469517827,0.0890762284398,0.225,0.06,0.06,0.06
0.489633738995,0.584272563457,0.225,0.06,0.06,0.06
0.565211772919,0.511357665062,0.225,0.06,0.06,0.06
0.420926332474,0.0245745871216,0.225,0.06,0.06,0.06
0.508715093136,0.198973402381,0.225,0.06,0.06,0.06
0.664495259523,0.440988183022,0.225,0.06,0.06,0.06
0.543830037117,0.365114837885,0.225,0.06,0.06,0.06
0.338261544704,0.476043224335,0.225,0.06,0.06,0.06
