x,y,z,dim_x,dim_y,dim_z
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
0.65,0.26,0.0,0.06,0.06,0.06
